"id","name","price","original_price","rating","filtration_capacity"
932,"Hydroshell 25 Lph Commercial RO Water Purifier Plant Full Stainless Steel With TDS Adjuster 25 L 25 L ...","6,799","18,999","4","Filtration Capacity: 25 L/hr"
933,"Aquafresh Black camry 14 Ltrs + copper filter 14 L RO + UV + UF + Copper + TDS Control Water Purifier ...","4,199","16,500","3.8","Filtration Capacity: 20 L/hr"
934,"Aqua Fresh swift red MINERA+ro+uv+uf+tds 15 L 15 L RO + UV + UF + TDS Water Purifier","4,549","12,999","4.2","Filtration Capacity: 12 L/hr"
935,"KENT WONDER 7 L RO + UF Water Purifier","18,500",NULL,"3.9","1 Year Warranty + 3 Years free service"
936,"Always PURE & NATURAL Copper UV Without RO + 15 L UV + UF + Alkaline Water Purifier","2,469","9,999","3.5","Filtration Capacity: 90 L/hr"
937,"Aquatec Plus Pride Alkaline 10 L RO + UF + TDS Water Purifier","7,485","15,999","4.3","Filtration Capacity: 15 L/hr"
938,"aquadeal 18 Stage Alkaline 15 L RO + UV + UF + TDS Water Purifier","10,789","19,990","3.7","Filtration Capacity: 15 L/hr"
939,"WELLBERG HEXA ROCopper + Alkaline 14L water purifier Fully Automatic Function 14 L RO + UV + UF + TDS ...","4,099","22,999","4.7","Filtration Capacity: 14 L/hr"
940,"Marchio New grand Water Purifier 12 L RO + UV + UF + Copper + TDS Control Water Purifier","4,947","19,500","5","Filtration Capacity: 12 L/hr"
941,"Aquaguard Copper Blaze Hot & Ambient 4 L UV + UF + SS Water Purifier","14,700","23,000","4","1 Year Comprehensive Domestic Warranty"
942,"Noir Aqua GLORY RO Water Purifier with B12 Alkaline Filter RO + UV + UF + TDS Control + Alkaline Filte...","6,999","12,999","4.1","Filtration Capacity: 18 L/hr"
943,"Keel COPPER AUDI 12 L RO + UV + UF + TDS + Copper Water Purifier","3,999","16,500","4.7","Filtration Capacity: 12 L/hr"
944,"Kinsco Aqua Laser Copper 15 L RO + UV + UF + Copper Water Purifier with Prefilter","4,399","20,000","4.2","Filtration Capacity: 15 L/hr"
945,"AquaDpure RO Water Purifier with Zinc Copper Alkaline(A115 Duke Gold Zinc C+A) 12 L RO + UV + UF + TDS...","4,900","24,599","3.7","Filtration Capacity: 12 L/hr"
946,"AquaDpure 50 LPH commercial RO water purifier Plant 50 Liter Per Hour Blue Stainless steel Full Automa...","11,499","33,499","4.6","Filtration Capacity: 50 L/hr"
947,"Aquagrand NYC Model 12 L COPPER FILTER+ RO + UV + UF + COPPER FILTER 12 L RO + UV + UF + TDS Water Pur...","3,889","14,500","4.1","Filtration Capacity: 12 L/hr"
948,"pure master QUBE GRAY T 11 L RO + UV + UF + TDS Water Purifier","5,199","14,999","5","Filtration Capacity: 15 L/hr"
949,"nexus pure BUZZ 2 COPPER 14 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier","7,714","23,715","4.8","Filtration Capacity: 20 L/hr"
950,"Maxpure MAX2022 12 L RO + UV + UF + Minerals Water Purifier","4,099","6,999","4.2","ONE YEAR OFFLINE WARRANTY OF SMPS POWERSUPPLY"
951,"AQUA NYC Model 12 L ALKALINE VITAMIN B12 + COPPER FILTER + +ALKALINE VITAMIN B12+COPPER FILTER + 12 L ...","4,398","14,500","3.9","Filtration Capacity: 12 L/hr"
952,"Aquatec Plus Pride Alkaline 10 L RO + UF + TDS Water Purifier","7,485","15,999","4.3","Filtration Capacity: 15 L/hr"
953,"AquaActive MistyROUVPFBlack 10 L RO + UV Water Purifier","8,099","21,600","4","Filtration Capacity: 14 L/hr"
954,"AquaDart Copper RO Water Purifier Fully Automatic With Goodness Of Copper 12 L RO + UV + UF + Copper +...","4,749","19,999","3.6","Filtration Capacity: 12 L/hr"
955,"KENT Excell+ 10.7 L RO + UV Water Purifier","19,900","20,000","4.5","1 YEAR WARRANTY 3 YEAR SERVICE CHARGE FREE"
956,"SAMTA dew lite 12 L RO + UV + UF + TDS Water Purifier","5,999","14,990","3.5","Filtration Capacity: 15 L/hr"
957,"R.K. AQUA FRESH INDIA ZX14STAGE 12 L RO + UV + UF Water Purifier","3,986","15,999","4","Filtration Capacity: 10 L/hr"
958,"FABER FWP GALAXY PRO PLUS BK 7 L RO + UV + MAT Water Purifier","8,990","16,990","4.3","1 year warranty on product"
959,"Remino 10 Inch 5 Micron Heavy Spun Pre Filter Cartridge 130 gm Premium Compatible for 12 L RO + UV + U...","549","999","4.1","NA"
